Time,Temperature(C),Deviation(mK),Current(mA)
0.00:40:54.015,24,998,-2,86
0.00:40:55.152,24,997,-3,82
0.00:40:56.305,25,001,1,87
0.00:40:57.457,24,999,-1,86
0.00:40:58.594,24,999,-1,83
0.00:40:59.747,24,997,-3,87
0.00:41:00.884,25,001,1,85
0.00:41:02.037,24,997,-3,82
0.00:41:03.174,24,999,-1,88
0.00:41:04.327,25,001,1,82
0.00:41:05.479,25,002,2,88
0.00:41:06.616,24,999,-1,85
0.00:41:07.769,25,0,87
0.00:41:08.906,24,999,-1,85
0.00:41:10.059,24,999,-1,85
0.00:41:11.196,24,994,-6,79
0.00:41:12.349,25,001,1,85
0.00:41:13.485,25,001,1,87
0.00:41:14.638,25,0,85
0.00:41:15.775,25,003,3,89
0.00:41:16.928,25,002,2,89
0.00:41:18.080,25,003,3,86
0.00:41:19.218,25,0,86
0.00:41:20.370,25,001,1,88
0.00:41:21.507,25,001,1,89
0.00:41:22.660,25,002,2,89
0.00:41:23.797,25,0,89
0.00:41:24.950,25,001,1,86
0.00:41:26.086,24,997,-3,87
0.00:41:27.240,25,003,3,91
0.00:41:28.376,25,004,4,95
0.00:41:29.529,25,001,1,96
0.00:41:30.666,25,004,4,93
0.00:41:31.818,25,004,4,96
0.00:41:32.972,25,002,2,95
0.00:41:34.108,25,001,1,97
0.00:41:35.261,25,004,4,98
0.00:41:36.397,25,003,3,96
0.00:41:37.551,25,002,2,94
0.00:41:38.687,25,003,3,101
0.00:41:39.840,24,999,-1,93
0.00:41:40.993,25,002,2,96
0.00:41:42.130,25,0,100
0.00:41:43.283,25,002,2,95
0.00:41:44.420,25,001,1,98
0.00:41:45.572,25,002,2,100
0.00:41:46.725,25,002,2,100
0.00:41:47.862,25,0,98
0.00:41:49.016,24,999,-1,103
0.00:41:50.152,25,001,1,101
0.00:41:51.305,24,999,-1,102
0.00:41:52.458,25,002,2,101
0.00:41:53.594,25,0,94
0.00:41:54.747,25,003,3,106
0.00:41:55.900,24,998,-2,98
0.00:41:57.037,25,003,3,105
0.00:41:58.191,25,003,3,102
0.00:41:59.327,25,003,3,103
0.00:42:00.480,25,003,3,107
0.00:42:01.632,25,001,1,102
0.00:42:02.769,24,996,-4,99
0.00:42:03.922,24,997,-3,98
0.00:42:05.059,24,998,-2,97
0.00:42:06.212,24,997,-3,95
0.00:42:07.365,24,997,-3,96
0.00:42:08.502,25,0,93
0.00:42:09.655,24,996,-4,92
0.00:42:10.791,25,001,1,96
0.00:42:11.944,25,002,2,97
0.00:42:13.097,25,0,95
0.00:42:14.234,25,002,2,100
0.00:42:15.387,24,998,-2,92
0.00:42:16.540,24,998,-2,92
0.00:42:17.677,24,999,-1,97
0.00:42:18.829,25,001,1,97
0.00:42:19.966,25,0,97
0.00:42:21.119,24,999,-1,96
0.00:42:22.272,25,0,95
0.00:42:23.409,24,996,-4,92
0.00:42:24.562,24,996,-4,92
0.00:42:25.699,24,999,-1,91
0.00:42:26.851,24,998,-2,91
0.00:42:28.004,25,0,93
0.00:42:29.141,25,0,94
0.00:42:30.294,24,997,-3,96
0.00:42:31.431,25,0,93
0.00:42:32.584,25,001,1,91
0.00:42:33.737,25,0,91
0.00:42:34.873,24,998,-2,96
0.00:42:36.026,24,999,-1,87
0.00:42:37.163,25,002,2,92
0.00:42:38.316,25,002,2,88
0.00:42:39.469,25,004,4,99
0.00:42:40.606,24,999,-1,95
0.00:42:41.758,25,005,5,96
0.00:42:42.895,25,001,1,91
0.00:42:44.048,25,001,1,96
0.00:42:45.185,25,0,96
0.00:42:46.338,24,999,-1,93
0.00:42:47.491,25,0,95
0.00:42:48.628,25,0,94
0.00:42:49.781,24,999,-1,96
0.00:42:50.917,24,999,-1,93
0.00:42:52.070,24,997,-3,89
0.00:42:53.222,24,996,-4,93
0.00:42:54.360,25,0,90
0.00:42:55.513,24,999,-1,89
0.00:42:56.666,24,998,-2,89
0.00:42:57.803,25,002,2,93
0.00:42:58.955,24,999,-1,90
0.00:43:00.092,25,0,94
0.00:43:01.245,25,001,1,93
0.00:43:02.398,25,002,2,96
0.00:43:03.534,25,002,2,91
0.00:43:04.688,25,001,1,93
0.00:43:05.840,25,002,2,92
0.00:43:06.976,25,0,92
0.00:43:08.129,24,999,-1,96
0.00:43:09.267,25,0,93
0.00:43:10.419,24,999,-1,90
0.00:43:11.573,25,003,3,94
0.00:43:12.710,25,001,1,98
0.00:43:13.863,24,999,-1,92
0.00:43:14.999,24,999,-1,92
0.00:43:16.151,25,001,1,93
0.00:43:17.304,24,999,-1,93
0.00:43:18.441,24,998,-2,90
0.00:43:19.594,25,001,1,89
0.00:43:20.747,24,995,-5,92
0.00:43:21.883,25,001,1,95
0.00:43:23.036,25,001,1,93
0.00:43:24.173,24,999,-1,87
0.00:43:25.326,24,999,-1,91
0.00:43:26.479,24,998,-2,89
0.00:43:27.616,24,996,-4,88
0.00:43:28.769,24,997,-3,87
0.00:43:29.921,24,997,-3,85
0.00:43:31.058,24,998,-2,85
0.00:43:32.211,24,998,-2,90
0.00:43:33.348,24,998,-2,88
0.00:43:34.501,24,999,-1,88
0.00:43:35.638,25,0,88
0.00:43:36.791,24,998,-2,83
0.00:43:37.943,24,999,-1,86
0.00:43:39.080,24,999,-1,86
0.00:43:40.233,24,998,-2,86
0.00:43:41.370,25,002,2,93
0.00:43:42.523,25,002,2,91
0.00:43:43.676,25,002,2,91
0.00:43:44.813,25,0,93
0.00:43:45.965,25,001,1,91
0.00:43:47.102,25,002,2,88
0.00:43:48.255,25,002,2,91
0.00:43:49.408,25,001,1,90
0.00:43:50.545,25,002,2,94
0.00:43:51.698,25,001,1,93
0.00:43:52.835,25,002,2,93
0.00:43:53.987,24,997,-3,93
0.00:43:55.140,25,001,1,92
0.00:43:56.277,25,001,1,92
0.00:43:57.430,25,002,2,93
0.00:43:58.567,24,998,-2,93
0.00:43:59.720,24,998,-2,89
0.00:44:00.857,25,001,1,92
0.00:44:02.009,24,995,-5,86
0.00:44:03.162,24,997,-3,87
0.00:44:04.299,25,0,82
0.00:44:05.452,24,999,-1,87
0.00:44:06.589,25,001,1,91
0.00:44:07.742,25,002,2,90
0.00:44:08.895,25,003,3,93
0.00:44:10.031,25,004,4,92
0.00:44:11.184,24,999,-1,90
0.00:44:12.321,25,001,1,93
0.00:44:13.474,24,999,-1,89
0.00:44:14.627,25,001,1,92
0.00:44:15.764,25,0,91
0.00:44:16.916,25,0,88
0.00:44:18.053,24,998,-2,90
0.00:44:19.206,24,997,-3,87
0.00:44:20.359,24,998,-2,86
0.00:44:21.496,24,999,-1,82
0.00:44:22.649,24,997,-3,84
0.00:44:23.786,24,995,-5,83
0.00:44:24.938,24,999,-1,84
0.00:44:26.090,24,997,-3,83
0.00:44:27.228,24,997,-3,84
0.00:44:28.381,24,996,-4,85
0.00:44:29.518,25,0,87
0.00:44:30.671,24,999,-1,85
0.00:44:31.807,25,0,84
0.00:44:32.959,25,0,88
0.00:44:34.113,25,0,88
0.00:44:35.249,24,998,-2,82
0.00:44:36.402,25,002,2,86
0.00:44:37.539,24,999,-1,85
0.00:44:38.692,25,002,2,88
0.00:44:39.844,25,001,1,85
0.00:44:40.981,25,0,84
0.00:44:42.134,25,0,87
0.00:44:43.272,24,999,-1,85
0.00:44:44.425,25,002,2,88
0.00:44:45.561,25,002,2,88
0.00:44:46.714,25,003,3,91
0.00:44:47.866,25,003,3,86
0.00:44:49.003,25,002,2,92
0.00:44:50.156,25,002,2,90
0.00:44:51.293,25,005,5,94
0.00:44:52.446,25,002,2,95
0.00:44:53.583,25,001,1,89
0.00:44:54.736,25,0,93
0.00:44:55.888,24,999,-1,89
0.00:44:57.025,25,0,89
0.00:44:58.178,25,002,2,90
0.00:44:59.315,25,001,1,94
0.00:45:00.468,25,004,4,93
0.00:45:01.621,25,002,2,91
0.00:45:02.758,24,999,-1,85
0.00:45:03.910,25,001,1,95
0.00:45:05.047,25,003,3,96
0.00:45:06.200,25,001,1,94
0.00:45:07.337,25,004,4,94
0.00:45:08.490,25,003,3,97
0.00:45:09.643,25,002,2,94
0.00:45:10.780,24,999,-1,92
0.00:45:11.932,24,997,-3,95
0.00:45:13.069,25,0,92
0.00:45:14.222,24,997,-3,94
0.00:45:15.375,25,001,1,92
0.00:45:16.512,25,003,3,94
0.00:45:17.665,24,995,-5,94
0.00:45:18.802,25,001,1,89
0.00:45:19.954,25,0,93
0.00:45:21.107,24,995,-5,87
0.00:45:22.244,24,996,-4,88
0.00:45:23.397,24,998,-2,93
0.00:45:24.534,25,001,1,92
0.00:45:25.687,24,999,-1,91
0.00:45:26.840,24,996,-4,87
0.00:45:27.976,24,999,-1,89
0.00:45:29.129,25,001,1,93
0.00:45:30.266,24,999,-1,90
0.00:45:31.419,24,999,-1,91
0.00:45:32.556,24,998,-2,91
0.00:45:33.709,25,0,84
0.00:45:34.862,24,999,-1,86
0.00:45:35.998,25,0,86
0.00:45:37.151,25,0,87
0.00:45:38.288,24,995,-5,83
0.00:45:39.441,24,997,-3,92
0.00:45:40.594,25,0,87
0.00:45:41.731,24,999,-1,88
0.00:45:42.883,25,001,1,89
0.00:45:44.020,24,999,-1,88
0.00:45:45.173,24,998,-2,88
0.00:45:46.326,25,0,87
0.00:45:47.463,24,998,-2,85
0.00:45:48.616,24,997,-3,85
0.00:45:49.753,24,999,-1,86
0.00:45:50.905,24,999,-1,86
0.00:45:52.042,24,999,-1,86
0.00:45:53.195,24,999,-1,81
0.00:45:54.348,24,998,-2,83
0.00:45:55.485,24,997,-3,82
0.00:45:56.638,25,0,85
0.00:45:57.775,25,0,87
0.00:45:58.927,25,0,84
0.00:46:00.064,24,998,-2,81
0.00:46:01.217,25,001,1,86
0.00:46:02.370,25,001,1,86
0.00:46:03.506,25,002,2,87
0.00:46:04.659,25,001,1,82
0.00:46:05.797,25,001,1,80
0.00:46:06.949,25,001,1,86
0.00:46:08.086,25,003,3,88
0.00:46:09.239,24,998,-2,85
0.00:46:10.392,25,002,2,88
0.00:46:11.528,24,998,-2,85
0.00:46:12.681,24,999,-1,83
0.00:46:13.818,24,999,-1,76
0.00:46:14.970,24,998,-2,81
0.00:46:16.107,24,996,-4,78
0.00:46:17.260,25,001,1,85
0.00:46:18.414,25,001,1,82
0.00:46:19.551,25,002,2,86
0.00:46:20.703,25,001,1,84
0.00:46:21.840,25,002,2,87
0.00:46:22.992,24,997,-3,83
0.00:46:24.129,25,0,79
0.00:46:25.282,24,997,-3,80
0.00:46:26.436,25,0,82
0.00:46:27.572,25,002,2,81
0.00:46:28.725,25,002,2,85
0.00:46:29.862,25,0,88
0.00:46:31.014,25,001,1,87
0.00:46:32.151,25,004,4,86
0.00:46:33.304,25,001,1,86
0.00:46:34.441,25,001,1,92
0.00:46:35.594,25,003,3,92
0.00:46:36.731,25,002,2,89
0.00:46:37.883,24,999,-1,88
0.00:46:39.036,25,001,1,92
0.00:46:40.173,25,002,2,91
0.00:46:41.326,25,0,88
0.00:46:42.463,24,997,-3,91
0.00:46:43.616,24,999,-1,87
0.00:46:44.753,25,0,89
0.00:46:45.906,24,999,-1,87
0.00:46:47.042,24,995,-5,85
0.00:46:48.195,24,994,-6,85
0.00:46:49.348,24,998,-2,82
0.00:46:50.485,24,998,-2,86
0.00:46:51.638,24,999,-1,82
0.00:46:52.775,24,997,-3,83
0.00:46:53.927,25,0,86
0.00:46:55.080,24,998,-2,85
0.00:46:56.217,24,998,-2,85
0.00:46:57.370,25,0,86
0.00:46:58.507,25,0,86
0.00:46:59.660,24,999,-1,85
0.00:47:00.797,25,0,86
0.00:47:01.950,25,001,1,86
0.00:47:03.102,25,0,85
0.00:47:04.239,24,997,-3,84
0.00:47:05.392,25,0,83
0.00:47:06.529,25,0,85
0.00:47:07.682,24,998,-2,83
0.00:47:08.819,24,998,-2,85
0.00:47:09.971,24,997,-3,84
0.00:47:11.108,24,996,-4,78
0.00:47:12.261,24,996,-4,81
0.00:47:13.414,24,998,-2,75
0.00:47:14.551,24,996,-4,76
0.00:47:15.704,25,001,1,82
0.00:47:16.841,25,001,1,83
0.00:47:17.994,24,999,-1,79
0.00:47:19.130,25,001,1,82
0.00:47:20.283,25,0,79
0.00:47:21.420,24,999,-1,80
0.00:47:22.573,25,002,2,82
0.00:47:23.726,24,997,-3,76
0.00:47:24.863,25,002,2,81
0.00:47:26.015,25,004,4,87
0.00:47:27.152,25,0,82
0.00:47:28.305,25,003,3,86
0.00:47:29.444,25,001,1,86
0.00:47:30.595,25,001,1,84
0.00:47:31.732,25,001,1,83
0.00:47:32.885,25,001,1,82
0.00:47:34.037,25,001,1,82
0.00:47:35.174,25,002,2,81
0.00:47:36.327,25,003,3,87
0.00:47:37.463,25,005,5,87
0.00:47:38.616,25,002,2,87
0.00:47:39.754,25,002,2,85
0.00:47:40.906,25,001,1,86
0.00:47:42.042,25,001,1,84
0.00:47:43.196,25,0,86
0.00:47:44.332,25,0,85
0.00:47:45.486,25,0,79
0.00:47:46.638,25,0,81
0.00:47:47.776,24,997,-3,81
0.00:47:48.929,24,998,-2,81
0.00:47:50.065,25,002,2,85
0.00:47:51.218,25,0,87
0.00:47:52.354,25,001,1,85
0.00:47:53.507,25,003,3,87
0.00:47:54.644,25,002,2,87
0.00:47:55.797,25,0,86
0.00:47:56.949,24,997,-3,81
0.00:47:58.086,24,996,-4,81
0.00:47:59.239,24,998,-2,82
0.00:48:00.376,24,997,-3,79
0.00:48:01.529,25,001,1,85
0.00:48:02.666,25,001,1,83
0.00:48:03.819,25,002,2,81
0.00:48:04.955,24,998,-2,84
0.00:48:06.108,24,999,-1,81
0.00:48:07.261,24,999,-1,79
0.00:48:08.398,25,003,3,84
0.00:48:09.551,24,999,-1,81
0.00:48:10.688,25,0,86
0.00:48:11.841,25,0,81
0.00:48:12.977,24,999,-1,85
0.00:48:14.131,24,999,-1,81
0.00:48:15.283,24,999,-1,78
0.00:48:16.420,24,999,-1,81
0.00:48:17.573,24,997,-3,82
0.00:48:18.710,24,997,-3,81
0.00:48:19.863,25,001,1,82
0.00:48:20.999,25,001,1,83
0.00:48:22.152,24,999,-1,84
0.00:48:23.289,25,001,1,79
0.00:48:24.442,25,002,2,82
0.00:48:25.595,25,0,82
0.00:48:26.732,24,999,-1,79
0.00:48:27.885,24,997,-3,81
0.00:48:29.022,25,0,84
0.00:48:30.174,24,999,-1,79
0.00:48:31.311,24,996,-4,80
0.00:48:32.464,24,998,-2,76
0.00:48:33.601,24,998,-2,81
0.00:48:34.754,24,999,-1,80
0.00:48:35.891,25,0,82
0.00:48:37.044,25,001,1,76
0.00:48:38.180,24,999,-1,75
0.00:48:39.333,24,998,-2,76
0.00:48:40.470,24,999,-1,78
0.00:48:41.623,25,001,1,79
0.00:48:42.760,25,0,78
0.00:48:43.913,25,001,1,81
0.00:48:45.050,25,0,81
0.00:48:46.202,24,999,-1,80
0.00:48:47.355,25,0,80
0.00:48:48.492,25,004,4,83
0.00:48:49.645,25,004,4,82
0.00:48:50.782,25,004,4,83
0.00:48:51.935,25,0,81
0.00:48:53.072,25,002,2,81
0.00:48:54.224,25,0,81
0.00:48:55.361,25,002,2,79
0.00:48:56.514,24,998,-2,81
0.00:48:57.651,25,001,1,83
0.00:48:58.804,24,999,-1,75
0.00:48:59.941,25,002,2,85
0.00:49:01.093,25,003,3,85
0.00:49:02.230,25,002,2,81
0.00:49:03.383,24,999,-1,83
0.00:49:04.520,25,005,5,82
0.00:49:05.673,25,002,2,86
0.00:49:06.810,25,0,85
0.00:49:07.963,25,002,2,87
0.00:49:09.099,25,001,1,88
0.00:49:10.252,25,0,86
0.00:49:11.405,24,995,-5,84
0.00:49:12.542,25,0,83
0.00:49:13.694,24,998,-2,76
0.00:49:14.832,24,999,-1,81
0.00:49:15.985,24,998,-2,81
0.00:49:17.121,24,998,-2,79
0.00:49:18.274,24,998,-2,81
0.00:49:19.411,24,998,-2,82
0.00:49:20.563,24,999,-1,83
0.00:49:21.700,24,998,-2,74
0.00:49:22.853,25,002,2,81
0.00:49:23.990,25,001,1,80
0.00:49:25.142,25,0,79
0.00:49:26.279,24,999,-1,81
0.00:49:27.432,24,999,-1,82
0.00:49:28.569,24,997,-3,78
0.00:49:29.722,25,0,83
0.00:49:30.875,24,998,-2,81
0.00:49:32.011,25,001,1,82
0.00:49:33.164,25,004,4,85
0.00:49:34.301,25,001,1,85
0.00:49:35.454,25,002,2,83
0.00:49:36.591,25,003,3,83
0.00:49:37.744,25,001,1,84
0.00:49:38.881,24,997,-3,78
0.00:49:40.034,25,001,1,79
0.00:49:41.170,25,001,1,79
0.00:49:42.323,25,003,3,84
0.00:49:43.460,25,001,1,83
0.00:49:44.613,25,001,1,85
0.00:49:45.766,25,002,2,84
0.00:49:46.903,25,0,78
0.00:49:48.056,25,003,3,82
0.00:49:49.192,25,0,76
0.00:49:50.345,24,998,-2,79
0.00:49:51.482,25,002,2,83
0.00:49:52.635,25,001,1,85
0.00:49:53.772,25,003,3,86
0.00:49:54.925,24,998,-2,81
0.00:49:56.061,24,999,-1,82
0.00:49:57.214,25,002,2,84
0.00:49:58.351,24,997,-3,78
0.00:49:59.504,25,003,3,84
0.00:50:00.657,24,999,-1,87
0.00:50:01.794,25,004,4,86
0.00:50:02.947,25,004,4,88
0.00:50:04.083,25,002,2,84
0.00:50:05.236,25,002,2,87
0.00:50:06.373,25,002,2,84
0.00:50:07.526,25,0,87
0.00:50:08.663,24,999,-1,83
0.00:50:09.816,24,996,-4,80
0.00:50:10.953,25,002,2,87
0.00:50:12.105,25,001,1,86
0.00:50:13.242,25,001,1,85
0.00:50:14.395,25,001,1,83
0.00:50:15.548,25,0,82
0.00:50:16.685,25,0,86
0.00:50:17.838,24,999,-1,82
0.00:50:18.975,25,001,1,86
0.00:50:20.128,24,999,-1,85
0.00:50:21.264,25,001,1,83
0.00:50:22.417,24,997,-3,82
0.00:50:23.554,25,001,1,86
0.00:50:24.707,25,0,83
0.00:50:25.844,24,997,-3,86
0.00:50:26.997,24,998,-2,85
0.00:50:28.134,25,0,87
0.00:50:29.286,25,002,2,88
0.00:50:30.423,25,001,1,86
0.00:50:31.576,25,002,2,87
0.00:50:32.713,24,997,-3,87
0.00:50:33.866,24,997,-3,83
0.00:50:35.019,24,998,-2,81
0.00:50:36.156,25,0,85
0.00:50:37.308,24,999,-1,81
0.00:50:38.445,25,0,85
0.00:50:39.598,24,999,-1,80
0.00:50:40.735,25,0,83
0.00:50:41.888,25,003,3,85
0.00:50:43.025,25,0,83
0.00:50:44.178,25,0,84
0.00:50:45.313,24,999,-1,87
0.00:50:46.466,24,997,-3,86
0.00:50:47.604,25,003,3,84
0.00:50:48.757,25,001,1,86
0.00:50:49.894,25,004,4,86
0.00:50:51.047,25,0,87
0.00:50:52.199,24,999,-1,90
0.00:50:53.336,24,999,-1,90
0.00:50:54.489,24,999,-1,85
0.00:50:55.625,25,003,3,87
0.00:50:56.779,25,001,1,87
0.00:50:57.915,25,001,1,91
0.00:50:59.068,24,999,-1,88
0.00:51:00.205,25,002,2,89
0.00:51:01.357,24,999,-1,86
0.00:51:02.510,25,0,89
0.00:51:03.647,25,0,84
0.00:51:04.800,24,996,-4,88
0.00:51:05.937,25,0,88
0.00:51:07.090,24,999,-1,87
0.00:51:08.227,24,997,-3,81
0.00:51:09.379,24,998,-2,82
0.00:51:10.516,24,997,-3,82
0.00:51:11.669,24,999,-1,85
0.00:51:12.807,24,997,-3,83
0.00:51:13.959,24,995,-5,82
0.00:51:15.096,24,997,-3,84
0.00:51:16.249,25,0,87
0.00:51:17.385,25,002,2,87
0.00:51:18.538,24,999,-1,81
0.00:51:19.675,25,0,79
0.00:51:20.828,25,002,2,83
0.00:51:21.981,25,0,83
0.00:51:23.118,24,999,-1,82
0.00:51:24.271,24,996,-4,81
0.00:51:25.407,24,996,-4,78
0.00:51:26.560,24,999,-1,83
0.00:51:27.697,24,999,-1,83
0.00:51:28.850,25,0,82
0.00:51:29.987,24,998,-2,79
0.00:51:31.140,25,001,1,83
0.00:51:32.277,24,998,-2,87
0.00:51:33.430,25,001,1,84
0.00:51:34.582,25,001,1,86
0.00:51:35.719,25,002,2,81
0.00:51:36.872,25,002,2,86
0.00:51:38.009,24,999,-1,83
0.00:51:39.162,24,997,-3,82
0.00:51:40.299,25,002,2,85
0.00:51:41.452,25,0,84
0.00:51:42.588,24,997,-3,80
0.00:51:43.741,24,996,-4,78
0.00:51:44.878,25,001,1,78
0.00:51:46.031,24,998,-2,77
0.00:51:47.168,24,997,-3,78
0.00:51:48.321,24,999,-1,84
0.00:51:49.458,24,999,-1,83
0.00:51:50.610,25,004,4,81
0.00:51:51.747,25,001,1,81
0.00:51:52.900,24,997,-3,85
0.00:51:54.037,25,001,1,81
0.00:51:55.190,24,997,-3,78
0.00:51:56.327,24,997,-3,82
0.00:51:57.480,25,0,82
0.00:51:58.616,24,995,-5,79
0.00:51:59.769,24,997,-3,79
0.00:52:00.906,24,999,-1,79
0.00:52:02.059,25,0,80
0.00:52:03.196,24,996,-4,80
0.00:52:04.349,24,998,-2,78
0.00:52:05.486,24,998,-2,72
0.00:52:06.639,24,999,-1,81
0.00:52:07.775,24,998,-2,75
0.00:52:08.928,24,999,-1,75
0.00:52:10.065,24,998,-2,73
0.00:52:11.218,25,001,1,77
0.00:52:12.355,24,999,-1,78
0.00:52:13.508,25,001,1,76
0.00:52:14.644,24,999,-1,81
0.00:52:15.797,25,003,3,82
0.00:52:16.934,25,004,4,82
0.00:52:18.086,25,001,1,83
0.00:52:19.224,25,003,3,86
0.00:52:20.377,25,003,3,85
0.00:52:21.514,25,001,1,82
0.00:52:22.666,25,005,5,84
0.00:52:23.803,25,003,3,86
0.00:52:24.956,24,999,-1,86
0.00:52:26.092,25,003,3,84
0.00:52:27.246,25,002,2,84
0.00:52:28.382,25,003,3,87
0.00:52:29.535,25,003,3,85
0.00:52:30.704,25,001,1,87
0.00:52:31.840,25,002,2,88
0.00:52:32.994,25,004,4,91
0.00:52:34.130,25,0,85
0.00:52:35.283,25,001,1,88
0.00:52:36.436,25,0,83
0.00:52:37.573,25,0,80
0.00:52:38.727,24,995,-5,81
0.00:52:39.862,24,998,-2,83
0.00:52:41.015,24,998,-2,81
0.00:52:42.152,25,002,2,86
0.00:52:43.305,25,001,1,84
0.00:52:44.442,24,999,-1,87
0.00:52:45.595,25,0,86
0.00:52:46.732,25,001,1,88
0.00:52:47.884,25,004,4,88
0.00:52:49.021,25,005,5,93
0.00:52:50.174,25,003,3,92
0.00:52:51.327,24,998,-2,91
0.00:52:52.464,24,999,-1,88
0.00:52:53.617,24,993,-7,79
0.00:52:54.754,24,994,-6,85
0.00:52:55.906,24,999,-1,85
0.00:52:57.043,24,997,-3,81
0.00:52:58.196,25,0,85
0.00:52:59.333,24,998,-2,85
0.00:53:00.486,25,0,85
0.00:53:01.639,24,999,-1,84
0.00:53:02.776,24,997,-3,84
0.00:53:03.928,24,999,-1,86
0.00:53:05.065,25,003,3,87
0.00:53:06.218,24,997,-3,81
0.00:53:07.355,25,0,86
0.00:53:08.508,24,999,-1,85
0.00:53:09.661,24,994,-6,84
0.00:53:10.798,24,999,-1,84
0.00:53:11.950,24,994,-6,82
0.00:53:13.087,25,001,1,85
0.00:53:14.240,25,001,1,88
0.00:53:15.393,24,998,-2,84
0.00:53:16.530,25,004,4,85
0.00:53:17.683,25,0,87
0.00:53:18.820,25,001,1,86
0.00:53:19.972,25,002,2,87
0.00:53:21.109,25,003,3,87
0.00:53:22.262,24,997,-3,81
0.00:53:23.415,25,0,84
0.00:53:24.552,25,0,84
0.00:53:25.705,25,002,2,85
0.00:53:26.842,25,001,1,89
0.00:53:27.994,25,002,2,88
0.00:53:29.147,25,001,1,88
0.00:53:30.284,25,0,90
0.00:53:31.437,25,001,1,88
0.00:53:32.574,25,001,1,84
0.00:53:33.727,25,0,90
0.00:53:34.864,24,999,-1,82
0.00:53:36.016,24,997,-3,82
0.00:53:37.169,25,002,2,84
0.00:53:38.306,24,998,-2,82
0.00:53:39.459,25,0,83
0.00:53:40.596,24,999,-1,81
0.00:53:41.749,24,999,-1,84
0.00:53:42.886,24,999,-1,85
0.00:53:44.039,25,0,82
0.00:53:45.191,25,0,82
0.00:53:46.328,24,997,-3,78
0.00:53:47.481,25,0,82
0.00:53:48.618,25,0,83
0.00:53:49.770,25,001,1,81
0.00:53:50.923,25,002,2,87
0.00:53:52.061,25,002,2,84
0.00:53:53.213,25,002,2,87
0.00:53:54.350,25,003,3,87
0.00:53:55.503,25,002,2,88
0.00:53:56.656,25,001,1,85
0.00:53:57.792,25,0,85
0.00:53:58.945,25,0,84
0.00:54:00.081,25,001,1,82
0.00:54:01.235,24,997,-3,80
0.00:54:02.387,24,999,-1,85
0.00:54:03.525,24,998,-2,83
0.00:54:04.677,25,0,81
0.00:54:05.815,25,0,82
0.00:54:06.967,24,999,-1,81
0.00:54:08.119,24,996,-4,84
0.00:54:09.256,25,003,3,87
0.00:54:10.409,25,003,3,86
0.00:54:11.546,25,003,3,87
0.00:54:12.699,25,001,1,85
0.00:54:13.852,25,0,81
0.00:54:14.989,24,999,-1,82
0.00:54:16.141,25,002,2,87
0.00:54:17.278,24,998,-2,83
0.00:54:18.431,25,003,3,87
0.00:54:19.584,24,999,-1,87
0.00:54:20.721,24,999,-1,82
0.00:54:21.874,25,0,86
0.00:54:23.011,25,0,84
0.00:54:24.163,25,001,1,85
0.00:54:25.316,25,001,1,86
0.00:54:26.453,25,004,4,86
0.00:54:27.606,25,002,2,87
0.00:54:28.743,25,0,85
0.00:54:29.896,25,0,86
0.00:54:31.049,25,0,82
0.00:54:32.185,25,001,1,86
0.00:54:33.338,25,001,1,85
0.00:54:34.475,25,0,83
0.00:54:35.628,25,001,1,86
0.00:54:36.781,25,002,2,88
0.00:54:37.918,25,002,2,88
0.00:54:39.071,25,002,2,87
0.00:54:40.224,25,003,3,89
0.00:54:41.360,24,998,-2,87
0.00:54:42.513,24,997,-3,82
0.00:54:43.650,25,002,2,89
0.00:54:44.803,25,003,3,87
0.00:54:45.956,24,996,-4,87
0.00:54:47.093,25,003,3,88
0.00:54:48.246,25,0,87
0.00:54:49.398,24,998,-2,87
0.00:54:50.535,25,001,1,86
0.00:54:51.688,24,999,-1,86
0.00:54:52.825,24,999,-1,86
0.00:54:53.978,25,0,88
0.00:54:55.131,25,0,88
0.00:54:56.268,24,997,-3,86
0.00:54:57.420,24,998,-2,83
0.00:54:58.573,24,999,-1,78
0.00:54:59.710,24,999,-1,85
0.00:55:00.863,25,0,86
0.00:55:02.000,25,0,86
0.00:55:03.153,24,997,-3,87
0.00:55:04.306,24,996,-4,82
0.00:55:05.442,25,003,3,85
0.00:55:06.595,24,998,-2,84
0.00:55:07.732,25,0,89
0.00:55:08.885,25,002,2,85
0.00:55:10.038,25,003,3,89
0.00:55:11.175,25,004,4,90
0.00:55:12.328,25,002,2,88
0.00:55:13.481,25,0,83
0.00:55:14.617,25,001,1,88
0.00:55:15.770,24,996,-4,86
0.00:55:16.923,24,998,-2,81
0.00:55:18.060,24,998,-2,87
0.00:55:19.213,24,999,-1,83
0.00:55:20.350,25,0,86
0.00:55:21.501,24,995,-5,78
0.00:55:22.655,24,995,-5,79
0.00:55:23.791,25,001,1,86
0.00:55:24.945,24,999,-1,87
0.00:55:26.082,24,998,-2,82
0.00:55:27.234,24,999,-1,82
0.00:55:28.388,24,999,-1,81
0.00:55:29.524,24,999,-1,83
0.00:55:30.676,25,0,86
0.00:55:31.813,25,002,2,87
0.00:55:32.966,25,004,4,83
0.00:55:34.120,25,001,1,83
0.00:55:35.256,25,002,2,81
0.00:55:36.409,25,003,3,89
0.00:55:37.561,25,0,89
0.00:55:38.698,25,0,85
0.00:55:39.851,24,999,-1,85
